timestamp,latitude,longitude,altitude,heading,pitch,roll,ve,vn,vu,ae,an,au,vheading,vpitch,vroll
1783590126000,48.079448,170.314048,3000.850600,194.830000,6.730000,-5.510000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590127000,48.079139,170.313888,3003.253600,193.340000,6.630000,-5.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590128000,48.078758,170.313690,3006.778000,191.170000,6.660000,-6.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590129000,48.078277,170.313468,3011.103400,188.210000,7.720000,-6.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590130000,48.077976,170.313346,3013.826800,187.500000,6.930000,-7.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590131000,48.077499,170.313163,3017.831800,186.260000,6.770000,-6.760000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590132000,48.077190,170.313056,3020.395000,185.490000,7.030000,-5.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590133000,48.076404,170.312820,3026.803000,182.920000,6.820000,-5.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590134000,48.076152,170.312751,3029.045800,181.870000,6.980000,-5.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590135000,48.075839,170.312683,3031.929400,180.410000,6.760000,-5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590136000,48.075450,170.312599,3035.614000,179.230000,7.130000,-5.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590137000,48.074966,170.312515,3039.619000,179.000000,7.100000,-4.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590138000,48.074665,170.312469,3041.861800,178.070000,7.210000,-4.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590139000,48.074188,170.312408,3045.546400,176.400000,7.040000,-5.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590140000,48.073879,170.312377,3048.109600,175.290000,6.910000,-5.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590141000,48.073265,170.312339,3052.435000,174.220000,6.700000,-4.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590142000,48.072868,170.312324,3054.677800,172.760000,6.100000,-4.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590143000,48.072479,170.312324,3056.440000,170.760000,5.920000,-6.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590144000,48.072082,170.312332,3057.881800,169.770000,5.530000,-7.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590145000,48.071605,170.312370,3059.644000,168.390000,5.410000,-6.820000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590146000,48.071292,170.312408,3060.445000,166.900000,5.530000,-5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1783590147000,48.070899,170.312454,3061.726600,164.830000,5.330000,-4.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
